shard_id,split,shard_index,peak_rss_bytes,peak_rss_mb
train-00095-of-00406,train,95,993832960,947.79296875
train-00096-of-00406,train,96,984657920,939.04296875
train-00097-of-00406,train,97,986394624,940.69921875
train-00098-of-00406,train,98,1034027008,986.125
train-00099-of-00406,train,99,983896064,938.31640625
train-00100-of-00406,train,100,984219648,938.625
train-00101-of-00406,train,101,984625152,939.01171875
train-00102-of-00406,train,102,992399360,946.42578125
train-00103-of-00406,train,103,993361920,947.34375
train-00104-of-00406,train,104,998322176,952.07421875
train-00105-of-00406,train,105,944287744,900.54296875
train-00106-of-00406,train,106,965914624,921.16796875
train-00107-of-00406,train,107,980615168,935.1875
train-00108-of-00406,train,108,971407360,926.40625
train-00109-of-00406,train,109,985243648,939.6015625
train-00110-of-00406,train,110,990740480,944.84375
train-00111-of-00406,train,111,984666112,939.05078125
train-00112-of-00406,train,112,970866688,925.890625
train-00113-of-00406,train,113,969986048,925.05078125
train-00114-of-00406,train,114,970948608,925.96875
train-00115-of-00406,train,115,969560064,924.64453125
train-00116-of-00406,train,116,960118784,915.640625
train-00117-of-00406,train,117,983109632,937.56640625
train-00118-of-00406,train,118,936427520,893.046875
train-00119-of-00406,train,119,987111424,941.3828125
train-00120-of-00406,train,120,983375872,937.8203125
train-00121-of-00406,train,121,977555456,932.26953125
train-00122-of-00406,train,122,979542016,934.1640625
train-00123-of-00406,train,123,1016532992,969.44140625
train-00124-of-00406,train,124,993304576,947.2890625
train-00125-of-00406,train,125,981676032,936.19921875
train-00126-of-00406,train,126,988246016,942.46484375
train-00127-of-00406,train,127,993570816,947.54296875
train-00128-of-00406,train,128,1003466752,956.98046875
train-00129-of-00406,train,129,947712000,903.80859375
train-00130-of-00406,train,130,943132672,899.44140625
train-00131-of-00406,train,131,952455168,908.33203125
train-00132-of-00406,train,132,947613696,903.71484375
train-00133-of-00406,train,133,956870656,912.54296875
train-00134-of-00406,train,134,953827328,909.640625
train-00135-of-00406,train,135,1008713728,961.984375
train-00136-of-00406,train,136,1012461568,965.55859375
train-00137-of-00406,train,137,989188096,943.36328125
train-00138-of-00406,train,138,1024823296,977.34765625
train-00139-of-00406,train,139,984276992,938.6796875
train-00140-of-00406,train,140,998973440,952.6953125
train-00141-of-00406,train,141,1008005120,961.30859375
train-00142-of-00406,train,142,994680832,948.6015625
train-00143-of-00406,train,143,1012781056,965.86328125
train-00144-of-00406,train,144,991465472,945.53515625
train-00145-of-00406,train,145,1006686208,960.05078125
train-00146-of-00406,train,146,1008062464,961.36328125
train-00147-of-00406,train,147,991105024,945.19140625
train-00148-of-00406,train,148,1003970560,957.4609375
train-00149-of-00406,train,149,999272448,952.98046875
train-00150-of-00406,train,150,1043959808,995.59765625
train-00151-of-00406,train,151,974360576,929.22265625
train-00152-of-00406,train,152,971689984,926.67578125
train-00153-of-00406,train,153,987222016,941.48828125
train-00154-of-00406,train,154,994398208,948.33203125
train-00155-of-00406,train,155,987877376,942.11328125
train-00156-of-00406,train,156,979570688,934.19140625
train-00157-of-00406,train,157,1000071168,953.7421875
train-00158-of-00406,train,158,999940096,953.6171875
train-00159-of-00406,train,159,1002196992,955.76953125
train-00160-of-00406,train,160,993636352,947.60546875
train-00161-of-00406,train,161,999591936,953.28515625
train-00162-of-00406,train,162,1001209856,954.828125
train-00163-of-00406,train,163,1005031424,958.47265625
train-00164-of-00406,train,164,1015623680,968.57421875
train-00165-of-00406,train,165,1006473216,959.84765625
train-00166-of-00406,train,166,1016750080,969.6484375
train-00167-of-00406,train,167,1045229568,996.80859375
train-00168-of-00406,train,168,1024331776,976.87890625
train-00169-of-00406,train,169,1049939968,1001.30078125
train-00170-of-00406,train,170,1018761216,971.56640625
train-00171-of-00406,train,171,1030537216,982.796875
train-00172-of-00406,train,172,1016422400,969.3359375
train-00173-of-00406,train,173,1018257408,971.0859375
train-00174-of-00406,train,174,1027985408,980.36328125
train-00175-of-00406,train,175,1041604608,993.3515625
train-00176-of-00406,train,176,1020420096,973.1484375
train-00177-of-00406,train,177,1017384960,970.25390625
train-00178-of-00406,train,178,1022971904,975.58203125
train-00179-of-00406,train,179,1033285632,985.41796875
train-00180-of-00406,train,180,1031049216,983.28515625
train-00181-of-00406,train,181,1037119488,989.07421875
train-00182-of-00406,train,182,1020162048,972.90234375
train-00183-of-00406,train,183,1026875392,979.3046875
train-00184-of-00406,train,184,1024094208,976.65234375
train-00185-of-00406,train,185,1034256384,986.34375
train-00186-of-00406,train,186,1028427776,980.78515625
train-00187-of-00406,train,187,1024151552,976.70703125
train-00188-of-00406,train,188,1015848960,968.7890625
train-00189-of-00406,train,189,1014255616,967.26953125
train-00190-of-00406,train,190,1036304384,988.296875
train-00191-of-00406,train,191,1023500288,976.0859375
train-00192-of-00406,train,192,1039958016,991.78125
train-00193-of-00406,train,193,1050279936,1001.625
