action_id,intended_delta_cm,realized_delta_cm,calibration_error_cm,waist_delta_cm,shoulder_delta_cm,sleeve_delta_cm,length_delta_cm,baseline_width_v,mutated_width_v,simulation_status,render_status,verification_status,runtime_s
bust_plus_1cm,1.0,0.9999999999999858,1.4210854715202004e-14,0.9999999999999858,0.47752169205543993,0.103786320518644,0.0993743940387617,1.05,1.0600159554169792,NOT_RUN,NOT_RUN,VERIFIED,6.709366083145142
bust_plus_2cm,2.0,1.9999999999999716,2.842170943040401e-14,1.9999999999999716,0.9550433841108799,0.2283694447877309,0.19874878346311675,1.05,1.0700319108339584,NOT_RUN,NOT_RUN,VERIFIED,6.044585943222046
bust_plus_3cm,3.0,3.0,0.0,3.0,1.432565076166341,0.2820958142556833,0.29812317093159635,1.05,1.0800478662509378,NOT_RUN,NOT_RUN,VERIFIED,6.461425065994263
bust_plus_3cm_repeat,3.0,3.0,0.0,3.0,1.432565076166341,0.2820958142556833,0.29812317093159635,1.05,1.0800478662509378,NOT_RUN,NOT_RUN,VERIFIED,6.169746398925781
